ID Converged Psurf H2O O O2 O3 H2O2
4903 True 0.20617859228154406 228286874691.8942 2.2829E+11 1.0005E-02 9.9937E-03 9.994E-03 4.996E-03
83386 True 0.20586604688060373 228272873023.96622 2.2827E+11 9.9934E-03 1.0010E-02 9.994E-03 4.985E-03
59510 True 0.20608374530364826 228294359399.04495 2.2829E+11 1.0003E-02 9.9994E-03 9.997E-03 5.010E-03
54928 True 0.20618202389995716 228276200986.65305 2.2828E+11 1.0018E-02 9.9918E-03 1.000E-02 4.993E-03
34303 True 0.2060825326495765 228290633459.30084 2.2829E+11 9.9860E-03 1.0001E-02 1.001E-02 5.002E-03
51878 True 0.20567986243240752 228279182519.06174 2.2828E+11 9.9977E-03 1.0017E-02 9.999E-03 5.009E-03
37464 True 0.2058779608702204 228293027555.81412 2.2829E+11 9.9982E-03 1.0012E-02 1.000E-02 5.006E-03
82649 True 0.2058662895360519 228282828148.87384 2.2828E+11 1.0003E-02 1.0006E-02 1.001E-02 5.003E-03
45575 True 0.20609070773708466 228270277620.66986 2.2827E+11 1.0008E-02 9.9973E-03 9.992E-03 5.000E-03
45256 True 0.2058766930404132 228290549384.79395 2.2829E+11 9.9991E-03 1.0012E-02 1.000E-02 4.990E-03
97526 True 0.2060929380286769 228299007195.39972 2.2830E+11 9.9853E-03 1.0003E-02 1.001E-02 4.994E-03
5621 True 0.20606124393395073 228300385616.1536 2.2830E+11 1.0006E-02 9.9996E-03 9.995E-03 4.987E-03
26094 True 0.20630236362551369 228279861910.4075 2.2828E+11 1.0003E-02 9.9873E-03 1.002E-02 4.994E-03
37439 True 0.20605818803504017 228282712146.05817 2.2828E+11 9.9975E-03 1.0004E-02 9.996E-03 4.994E-03
27451 True 0.2062137106197257 228277375630.07587 2.2828E+11 1.0014E-02 9.9910E-03 9.991E-03 5.003E-03
1863 True 0.2058500687869131 228292996545.12064 2.2829E+11 1.0019E-02 1.0005E-02 1.001E-02 5.007E-03
25402 True 0.2061887389596365 228290392405.87878 2.2829E+11 9.9925E-03 9.9940E-03 1.000E-02 5.005E-03
28164 True 0.20608374696432658 228294737703.20255 2.2829E+11 1.0003E-02 9.9992E-03 9.996E-03 4.993E-03
64388 True 0.20623051353594968 228289516685.07767 2.2829E+11 9.9895E-03 9.9923E-03 9.995E-03 5.019E-03
96730 True 0.20648272864633146 228285546445.05023 2.2829E+11 1.0002E-02 9.9779E-03 1.001E-02 4.987E-03
78977 True 0.20588708777667888 228297475653.82706 2.2830E+11 9.9984E-03 1.0010E-02 1.000E-02 5.005E-03
76655 True 0.2058754253896809 228289497861.8508 2.2829E+11 9.9997E-03 1.0011E-02 1.000E-02 4.992E-03
82317 True 0.20616659118392838 228273362267.0766 2.2827E+11 1.0006E-02 9.9933E-03 9.996E-03 4.997E-03
96534 True 0.2060647888580807 228292862734.6144 2.2829E+11 1.0002E-02 1.0000E-02 9.997E-03 5.008E-03
1973 True 0.20616507965106043 228306457938.56012 2.2831E+11 1.0039E-02 9.9930E-03 1.002E-02 5.005E-03
65907 True 0.20606124367883713 228295554946.2575 2.2830E+11 1.0005E-02 1.0000E-02 9.995E-03 4.991E-03
61468 True 0.20615961452889142 228288811736.38083 2.2829E+11 1.0002E-02 9.9952E-03 9.996E-03 4.995E-03
61046 True 0.20609482315915323 228276601089.83643 2.2828E+11 9.9987E-03 9.9981E-03 1.001E-02 4.990E-03
49565 True 0.20651164879240427 228281347512.86047 2.2828E+11 1.0032E-02 9.9739E-03 9.988E-03 5.019E-03
66228 True 0.206080204788702 228303276526.01065 2.2830E+11 1.0012E-02 9.9993E-03 9.992E-03 4.982E-03
2833 True 0.2056717653934858 228264170995.87036 2.2826E+11 9.9896E-03 1.0015E-02 9.992E-03 4.975E-03
90116 True 0.2057601297256294 228297965771.29056 2.2830E+11 9.9494E-03 1.0022E-02 1.002E-02 4.989E-03
43515 True 0.2061672265800975 228290722556.49353 2.2829E+11 9.9941E-03 9.9951E-03 9.996E-03 5.015E-03
84229 True 0.20610688000728306 228300988765.88678 2.2830E+11 9.9738E-03 1.0005E-02 1.002E-02 4.995E-03
58609 True 0.2060556547080603 228283885140.65323 2.2828E+11 9.9996E-03 1.0001E-02 9.995E-03 4.994E-03
57799 True 0.2062067596237279 228299667232.10345 2.2830E+11 9.9849E-03 9.9943E-03 1.000E-02 5.010E-03
51404 True 0.2058662900038099 228281206523.82562 2.2828E+11 1.0003E-02 1.0011E-02 1.001E-02 5.006E-03
87567 True 0.20647990335697164 228284592708.67297 2.2828E+11 1.0008E-02 9.9770E-03 1.001E-02 4.994E-03
93811 True 0.20618202389995716 228276556035.9927 2.2828E+11 1.0017E-02 9.9920E-03 1.000E-02 4.993E-03
3292 True 0.20568745969163882 228278856173.8801 2.2828E+11 9.9925E-03 1.0024E-02 1.000E-02 5.008E-03
82453 True 0.20586627946154282 228276092680.1842 2.2828E+11 1.0000E-02 1.0013E-02 1.002E-02 5.011E-03
46494 True 0.20594560858613462 228314001463.43533 2.2831E+11 9.9585E-03 1.0010E-02 1.003E-02 4.994E-03
1204 True 0.20651799444260957 228282809274.445 2.2828E+11 1.0011E-02 9.9749E-03 1.001E-02 4.992E-03
85820 True 0.20587541727346081 228290648051.12247 2.2829E+11 1.0000E-02 1.0012E-02 1.001E-02 4.991E-03
11742 True 0.20616304190709384 228280939328.51532 2.2828E+11 1.0017E-02 9.9932E-03 9.999E-03 4.991E-03
58434 True 0.20657217255737093 228308728253.5841 2.2831E+11 9.9894E-03 9.9751E-03 9.997E-03 5.053E-03
49016 True 0.20526630413196117 228314410546.12515 2.2831E+11 9.9004E-03 1.0053E-02 1.002E-02 4.985E-03
3825 True 0.20588708777667888 228297558792.09158 2.2830E+11 9.9983E-03 1.0010E-02 1.000E-02 5.005E-03
19418 True 0.2062608393652158 228291578226.7985 2.2829E+11 1.0008E-02 9.9892E-03 9.994E-03 5.000E-03
27767 True 0.20645450992011377 228281475605.95407 2.2828E+11 1.0029E-02 9.9767E-03 9.989E-03 5.017E-03
71812 True 0.20627983121477775 228289351967.54883 2.2829E+11 1.0008E-02 9.9879E-03 1.000E-02 4.991E-03
82010 True 0.20490434106400057 228254142520.39746 2.2825E+11 9.9950E-03 1.0065E-02 1.000E-02 4.970E-03
42135 True 0.20615594401130294 228304813034.60757 2.2830E+11 1.0036E-02 9.9926E-03 1.001E-02 5.005E-03
27580 True 0.2058751711800166 228282892286.1848 2.2828E+11 9.9930E-03 1.0009E-02 9.997E-03 4.991E-03
46418 True 0.20651164628784738 228281543044.36856 2.2828E+11 1.0005E-02 9.9757E-03 1.002E-02 4.986E-03
