wl alb
0.1 0.25
0.18 0.25
0.19 0.25
0.2 0.25
0.225 0.25
0.25 0.25
0.275 0.25
0.3 0.25
0.325 0.25
0.35 0.25
0.375 0.25
0.4 0.25
0.425 0.25
0.45 0.25
0.475 0.25
0.5 0.25
0.525 0.25
0.55 0.25
0.575 0.25
0.6 0.25
0.625 0.25
0.65 0.25
0.675 0.25
0.7 0.25
0.725 0.25
0.75 0.25
0.775 0.25
0.8 0.25
0.825 0.25
0.85 0.25
0.875 0.25
0.9 0.25
0.925 0.25
0.95 0.25
0.975 0.25
1.0 0.25
1.2 0.25
1.4 0.25
1.6 0.25
1.8 0.25
2.0 0.25
2.2 0.25
2.4 0.25
2.6 0.25
2.65 0.25
2.7 0.25
2.75 0.25
2.8 0.25
2.85 0.25
2.9 0.25
2.95 0.25
3.0 0.25
3.05 0.25
3.1 0.25
3.15 0.25
3.2 0.25
3.25 0.25
3.3 0.25
3.35 0.25
3.4 0.25
3.45 0.25
3.5 0.25
3.6 0.25
3.7 0.25
3.8 0.25
3.9 0.25
4.0 0.25
4.1 0.25
4.2 0.25
4.3 0.25
4.4 0.25
4.5 0.25
4.6 0.25
4.7 0.25
4.8 0.25
4.9 0.25
5.0 0.25
5.1 0.25
5.2 0.25
5.3 0.25
5.4 0.25
5.5 0.25
5.6 0.25
5.7 0.25
5.8 0.25
5.9 0.25
6.0 0.25
6.1 0.25
6.2 0.25
6.3 0.25
6.4 0.25
6.5 0.25
6.6 0.25
6.7 0.25
6.8 0.25
6.9 0.25
7.0 0.25
7.1 0.25
7.2 0.25
7.3 0.25
7.4 0.25
7.5 0.25
7.6 0.25
7.7 0.25
7.8 0.25
7.9 0.25
8.0 0.25
8.2 0.25
8.4 0.25
8.6 0.25
8.8 0.25
9.0 0.25
9.2 0.25
9.4 0.25
9.6 0.25
9.8 0.25
10.0 0.25
10.5 0.25
11.0 0.25
11.5 0.25
12.0 0.25
12.5 0.25
13.0 0.25
13.5 0.25
14.0 0.25
14.5 0.25
15.0 0.25
15.5 0.25
16.0 0.25
16.5 0.25
17.0 0.25
17.5 0.25
18.0 0.25
18.5 0.25
19.0 0.25
19.5 0.25
20.0 0.25
21.0 0.25
22.0 0.25
23.0 0.25
24.0 0.25
25.0 0.25
26.0 0.25
27.0 0.25
28.0 0.25
29.0 0.25
30.0 0.25
32.0 0.25
34.0 0.25
36.0 0.25
38.0 0.25
40.0 0.25
42.0 0.25
44.0 0.25
46.0 0.25
48.0 0.25
50.0 0.25
60.0 0.25
70.0 0.25
80.0 0.25
90.0 0.25
100.0 0.25
110.0 0.25
120.0 0.25
130.0 0.25
140.0 0.25
150.0 0.25
160.0 0.25
170.0 0.25
180.0 0.25
190.0 0.25
200.0 0.25
