Press O2 H2O O3
8e-09 0.1367 5.075e-08 5.157e-07
9e-09 0.1367 5.075e-08 5.157e-07
1e-08 0.1367 5.075e-08 5.157e-07
2e-08 0.1367 5.075e-08 5.157e-07
3e-08 0.1367 5.075e-08 5.157e-07
4e-08 0.1367 5.075e-08 5.157e-07
5e-08 0.1367 5.075e-08 5.157e-07
6e-08 0.1367 5.075e-08 5.157e-07
7e-08 0.1367 5.075e-08 5.157e-07
8e-08 0.1367 5.075e-08 5.157e-07
9e-08 0.1367 5.075e-08 5.157e-07
1e-07 0.1367 5.075e-08 5.157e-07
2e-07 0.1367 5.075e-08 5.157e-07
2.443e-07 0.1367 5.075e-08 5.157e-07
2.657e-07 0.139 5.061e-08 6.009e-07
2.892e-07 0.1417 5.163e-08 7.001e-07
3.15e-07 0.1446 5.377e-08 8.131e-07
3.432e-07 0.1477 5.707e-08 9.41e-07
3.742e-07 0.1508 6.157e-08 1.085e-06
4.083e-07 0.1541 6.736e-08 1.247e-06
4.458e-07 0.1574 7.453e-08 1.426e-06
4.87e-07 0.1608 8.324e-08 1.621e-06
5.323e-07 0.1641 9.365e-08 1.793e-06
5.819e-07 0.1674 1.06e-07 1.971e-06
6.363e-07 0.1707 1.204e-07 2.152e-06
6.96e-07 0.1739 1.373e-07 2.333e-06
7.615e-07 0.1769 1.569e-07 2.51e-06
8.332e-07 0.1799 1.795e-07 2.679e-06
9.12e-07 0.1827 2.055e-07 2.836e-06
9.984e-07 0.1854 2.353e-07 2.975e-06
1.093e-06 0.1879 2.694e-07 3.058e-06
1.197e-06 0.1902 3.081e-07 3.097e-06
1.31e-06 0.1924 3.519e-07 3.103e-06
1.434e-06 0.1944 4.013e-07 3.073e-06
1.569e-06 0.1962 4.566e-07 3.008e-06
1.717e-06 0.1978 5.182e-07 2.909e-06
1.879e-06 0.1993 5.866e-07 2.777e-06
2.056e-06 0.2006 6.62e-07 2.617e-06
2.249e-06 0.2017 7.447e-07 2.427e-06
2.459e-06 0.2027 8.35e-07 2.206e-06
2.688e-06 0.2036 9.332e-07 1.977e-06
2.937e-06 0.2044 1.039e-06 1.748e-06
3.209e-06 0.205 1.153e-06 1.523e-06
3.504e-06 0.2056 1.275e-06 1.309e-06
3.826e-06 0.206 1.405e-06 1.11e-06
4.175e-06 0.2064 1.542e-06 9.281e-07
4.554e-06 0.2068 1.686e-06 7.65e-07
4.967e-06 0.2071 1.837e-06 6.274e-07
5.416e-06 0.2073 1.993e-06 5.102e-07
5.906e-06 0.2075 2.155e-06 4.092e-07
6.438e-06 0.2077 2.32e-06 3.244e-07
7.019e-06 0.2079 2.489e-06 2.552e-07
7.65e-06 0.208 2.658e-06 2.011e-07
8.338e-06 0.2081 2.827e-06 1.614e-07
9.086e-06 0.2082 2.993e-06 1.353e-07
9.901e-06 0.2083 3.155e-06 1.214e-07
1.079e-05 0.2084 3.309e-06 1.179e-07
1.175e-05 0.2085 3.457e-06 1.223e-07
1.281e-05 0.2086 3.596e-06 1.322e-07
1.395e-05 0.2086 3.728e-06 1.46e-07
1.52e-05 0.2087 3.852e-06 1.628e-07
1.656e-05 0.2088 3.97e-06 1.825e-07
1.804e-05 0.2088 4.081e-06 2.055e-07
1.966e-05 0.2089 4.186e-06 2.325e-07
2.142e-05 0.2089 4.284e-06 2.649e-07
2.333e-05 0.209 4.377e-06 2.99e-07
2.54e-05 0.209 4.466e-06 3.374e-07
2.764e-05 0.209 4.549e-06 3.806e-07
3.007e-05 0.2091 4.629e-06 4.278e-07
3.269e-05 0.2091 4.704e-06 4.776e-07
3.552e-05 0.2092 4.776e-06 5.285e-07
3.859e-05 0.2092 4.844e-06 5.784e-07
4.189e-05 0.2092 4.909e-06 6.257e-07
4.547e-05 0.2092 4.972e-06 6.692e-07
4.931e-05 0.2093 5.032e-06 7.035e-07
5.345e-05 0.2093 5.089e-06 7.307e-07
5.79e-05 0.2093 5.144e-06 7.545e-07
6.266e-05 0.2093 5.197e-06 7.762e-07
6.778e-05 0.2094 5.249e-06 7.968e-07
7.326e-05 0.2094 5.298e-06 8.172e-07
7.912e-05 0.2094 5.345e-06 8.38e-07
8.541e-05 0.2094 5.391e-06 8.597e-07
9.213e-05 0.2095 5.435e-06 8.824e-07
9.931e-05 0.2095 5.478e-06 9.062e-07
0.000107 0.2095 5.519e-06 9.288e-07
0.0001152 0.2095 5.558e-06 9.517e-07
0.0001239 0.2095 5.596e-06 9.757e-07
0.0001332 0.2095 5.632e-06 1.001e-06
0.0001431 0.2096 5.667e-06 1.027e-06
0.0001536 0.2096 5.701e-06 1.063e-06
0.0001649 0.2096 5.733e-06 1.109e-06
0.0001769 0.2096 5.763e-06 1.157e-06
0.0001898 0.2096 5.793e-06 1.208e-06
0.0002036 0.2096 5.82e-06 1.262e-06
0.0002183 0.2096 5.846e-06 1.318e-06
0.0002339 0.2097 5.871e-06 1.38e-06
0.0002507 0.2097 5.895e-06 1.445e-06
0.0002686 0.2097 5.917e-06 1.514e-06
0.0002878 0.2097 5.937e-06 1.585e-06
0.0003082 0.2097 5.956e-06 1.66e-06
0.00033 0.2097 5.974e-06 1.732e-06
0.0003533 0.2097 5.99e-06 1.801e-06
0.000378 0.2097 6.004e-06 1.872e-06
0.0004044 0.2097 6.017e-06 1.945e-06
0.0004324 0.2097 6.029e-06 2.019e-06
0.0004622 0.2098 6.039e-06 2.095e-06
0.0004939 0.2098 6.047e-06 2.167e-06
0.0005276 0.2098 6.053e-06 2.238e-06
0.0005633 0.2098 6.058e-06 2.309e-06
0.0006013 0.2098 6.061e-06 2.379e-06
0.0006415 0.2098 6.062e-06 2.448e-06
0.0006842 0.2098 6.061e-06 2.521e-06
0.0007295 0.2098 6.058e-06 2.618e-06
0.0007777 0.2098 6.052e-06 2.721e-06
0.0008291 0.2098 6.044e-06 2.825e-06
0.0008836 0.2098 6.034e-06 2.927e-06
0.0009417 0.2098 6.022e-06 3.028e-06
0.001003 0.2098 6.007e-06 3.134e-06
0.001069 0.2098 5.989e-06 3.278e-06
0.00114 0.2099 5.969e-06 3.431e-06
0.001215 0.2099 5.945e-06 3.584e-06
0.001295 0.2099 5.92e-06 3.734e-06
0.001381 0.2099 5.891e-06 3.879e-06
0.001473 0.2099 5.859e-06 4.022e-06
0.001571 0.2099 5.825e-06 4.178e-06
0.001677 0.2099 5.788e-06 4.344e-06
0.00179 0.2099 5.748e-06 4.509e-06
0.001911 0.2099 5.706e-06 4.67e-06
0.002042 0.2099 5.661e-06 4.829e-06
0.002182 0.2099 5.614e-06 4.984e-06
0.002333 0.2099 5.564e-06 5.136e-06
0.002496 0.2099 5.513e-06 5.284e-06
0.00267 0.2099 5.459e-06 5.427e-06
0.002858 0.2099 5.403e-06 5.563e-06
0.003061 0.2099 5.345e-06 5.691e-06
0.003279 0.2099 5.286e-06 5.808e-06
0.003514 0.2099 5.225e-06 5.918e-06
0.003768 0.2099 5.163e-06 6.02e-06
0.004041 0.2099 5.099e-06 6.116e-06
0.004336 0.2099 5.034e-06 6.204e-06
0.004654 0.2099 4.968e-06 6.284e-06
0.004998 0.2099 4.9e-06 6.35e-06
0.005369 0.2099 4.832e-06 6.395e-06
